,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Dendritic.cells,-0.036888633144147066,0.036888633144147066,1.0,1.0,0.9637834629065631
EpiDISH_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
