,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Macrophages,0.06874845466122108,0.06874845466122108,0.6773757245915798,0.6773757245915798,1.0711667282588877
EpiDISH_CBSX_HNSCC_Malignant.cells,-0.017993301784026323,0.017993301784026323,0.1772872698566242,0.854662994448204,0.9821676111070493
TMB,-0.014750594351162672,0.014750594351162672,0.14533700555179593,1.0,0.9853576627266306
EpiDISH_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,1.0,1.0
