,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.24341406667140092,0.24341406667140092,0.4433660771940983,0.4433660771940983,0.7839468402992453
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.22521183419261048,0.22521183419261048,0.4102116563315159,0.8535777335256143,0.7983470836358234
CIBERSORTx_CBSX_HNSCC_CAFs,0.0803878356218278,0.0803878356218278,0.14642226647438586,1.0000000000000002,1.08370728647111
CIBERSORTx_CBSX_HNSCC_B_cells,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,1.0000000000000002,1.0
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0,0.0,0.0,1.0000000000000002,1.0
