,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_B.cells.naive,-1.3472649910697398,1.3472649910697398,0.37518285419510605,0.37518285419510605,0.2599502555524663
EpiDISH_CBSX_LM22_Plasma.cells,0.9343844695575323,0.9343844695575323,0.26020495932713544,0.6353878135222415,2.5456460527545355
EpiDISH_CBSX_LM22_Macrophages.M1,-0.7566444134274602,0.7566444134274602,0.2107083703073834,0.8460961838296249,0.46923835809323944
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.34958060704925364,0.34958060704925364,0.09735029915670658,0.9434464829863315,0.7049836929186327
EpiDISH_CBSX_LM22_NK.cells.activated,0.15315099595327653,0.15315099595327653,0.04264909143000145,0.9860955744163329,1.1655009515840542
EpiDISH_CBSX_LM22_T.cells.CD8,-0.02982155836528979,0.02982155836528979,0.008304630089995562,0.9944002045063285,0.9706187168870113
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,-0.02010861728198941,0.02010861728198941,0.005599795493671588,1.0,0.9800922125728936
EpiDISH_CBSX_LM22_Macrophages.M2,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Neutrophils,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Mast.cells.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Mast.cells.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Monocytes,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_B.cells.memory,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.follicular.helper,0.0,0.0,0.0,1.0,1.0
TMB,0.0,0.0,0.0,1.0,1.0
