,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.07246875225963068,0.07246875225963068,0.3323813310970501,0.3323813310970501,0.9300948095673293
CIBERSORTx_CBSX_HNSCC_B_cells,-0.053706785563412775,0.053706785563412775,0.24632869088950898,0.5787100219865591,0.9477099480046901
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.04344696715474339,0.04344696715474339,0.199271552562219,0.7779815745487781,0.9574833308098567
CIBERSORTx_CBSX_HNSCC_CAFs,0.03284826225453314,0.03284826225453314,0.15066009544735542,0.9286416699961335,1.0333937225104644
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.015558181687410272,0.015558181687410272,0.07135833000386654,1.0,1.0156798403062284
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0,0.0,0.0,1.0,1.0
