,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.6199241328833082,0.6199241328833082,0.7410000194437814,0.7410000194437814,1.8587870156853614
EpiDISH_BPRNACanProMet_M0,-0.20305186237643788,0.20305186237643788,0.2427094316674371,0.9837094511112184,0.8162359083939303
EpiDISH_BPRNACanProMet_B,-0.013628750511574266,0.013628750511574266,0.016290548888781443,0.9999999999999999,0.9864637004351476
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_M1,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACanProMet_NK,0.0,0.0,0.0,0.9999999999999999,1.0
