,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.15850309280837951,0.15850309280837951,0.594905228526948,0.594905228526948,1.1717555482349742
EpiDISH_BPRNACanProMet_M0,-0.10430507208355137,0.10430507208355137,0.3914853120210186,0.9863905405479667,0.9009504006757648
EpiDISH_BPRNACanProMet_M1,-0.0036260253081635083,0.0036260253081635083,0.013609459452033283,1.0,0.9963805407829359
EpiDISH_BPRNACanProMet_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
