,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,0.28105445067444834,0.28105445067444834,0.9184377287044527,0.9184377287044527,1.324525723290723
EpiDISH_BPRNACan3DProMet_M0,-0.017561823231423405,0.017561823231423405,0.057389025513994434,0.9758267542184471,0.9825914868063637
EpiDISH_BPRNACan3DProMet_B,-0.007397342358459451,0.007397342358459451,0.024173245781552763,0.9999999999999999,0.9926299506385118
EpiDISH_BPRNACan3DProMet_cancer,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_Neu,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan3DProMet_NK,0.0,0.0,0.0,0.9999999999999999,1.0
