,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.2676963315659697,0.2676963315659697,0.5148325432484802,0.5148325432484802,1.3069502002282858
EpiDISH_BPRNACan_M0,-0.2205720192740325,0.2205720192740325,0.42420324921157304,0.9390357924600532,0.8020598730117428
EpiDISH_BPRNACan_NK,0.03169942329654466,0.03169942329654466,0.06096420753994687,1.0,1.0322072012345374
EpiDISH_BPRNACan_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,1.0,1.0
