,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.6211884415350921,0.6211884415350921,0.7405685094387702,0.7405685094387702,1.8611385824309632
EpiDISH_BPRNACanProMet_M0,-0.20406962734342177,0.20406962734342177,0.24328775237667663,0.9838562618154468,0.8154055946853479
EpiDISH_BPRNACanProMet_B,-0.013541358342407803,0.013541358342407803,0.01614373818455327,1.0,0.986549913404847
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
