,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Plasma.cells,0.42443436846927385,0.42443436846927385,0.36515818841616465,0.36515818841616465,1.528725479734629
EpiDISH_CBSX_LM22_B.cells.naive,-0.3266380924985139,0.3266380924985139,0.28102006572802696,0.6461782541441916,0.7213447558708123
EpiDISH_CBSX_LM22_Macrophages.M1,-0.17028088681298248,0.17028088681298248,0.1464995880865572,0.7926778422307488,0.8434278755531895
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.09865697419659711,0.09865697419659711,0.08487861645647504,0.8775564586872238,0.9060534544376168
EpiDISH_CBSX_LM22_NK.cells.activated,0.07116325278478758,0.07116325278478758,0.06122464719907764,0.9387811058863014,1.0737565053002145
EpiDISH_CBSX_LM22_Macrophages.M0,0.07115656580025019,0.07115656580025019,0.06121889411369851,0.9999999999999999,1.0737493251310735
EpiDISH_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Eosinophils,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Mast.cells.activated,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Mast.cells.resting,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Macrophages.M2,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Monocytes,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_B.cells.memory,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_T.cells.follicular.helper,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_LM22_Neutrophils,0.0,0.0,0.0,0.9999999999999999,1.0
